name,place_category,frequency
Abries,stream,1
Ache,stream,1
Aculone,elevation,2
Acuto,elevation,1
Aff,stream,1
Agout,stream,1
Agréau,stream,1
Aguellino,elevation,1
Aignerville,populated place,1
Aigre,stream,1
Aigu,elevation,1
Aigues,stream,1
Aiguillon,stream,1
Ailleux,populated place,1
Aillon-le-Jeune,populated place,1
Ailly-le-Haut-Clocher,populated place,1
Aingeville,populated place,1
Ainson,stream,1
Aizenay,populated place,1
Ajara,stream,1
Al Leue Bihan,elevation,1
Alauzène,stream,1
Albo,populated place,1
Alhérac,elevation,1
Alisse,stream,1
Allagouttes,populated place,1
Allards,populated place,2
Allymes,populated place,1
Almont,stream,1
Alps,elevated area,2
Alquines,populated place,1
Alto de Aintziaga,elevation,1
Alzett,stream,1
Alène,stream,1
Ameysin,populated place,1
Ampuis,populated place,1
Anciens Marais de Saint-Michel,marsh,1
Ancier,populated place,1
Ancretiéville-Saint-Victor,populated place,1
Andlau,stream,1
Angouts,stream,1
Anisy,populated place,1
Anteine,stream,1
Antichan,populated place,2
Apance,stream,1
Apinac,populated place,1
Ar C’héo,underwater elevation,1
Ar-Vaz-Du,elevation,1
Arca,elevation,1
Archipel des Lavezzi,island,1
Ardanavy,stream,1
Ardière,stream,1
Argaray,elevation,1
"Argentière, Col",depression,1
Arghiavana,elevation,1
Aries-Espénan,populated place,1
Arignac,populated place,1
Aron,stream,2
Arpeix,populated place,1
Arraggio,populated place,1
Arrayou,populated place,1
Arrou Doun,elevation,1
Arsaillier,populated place,1
Arsure-Arsurette,populated place,1
Artuby,stream,1
Arvière,stream,1
Aréa,elevation,1
Asfeld-la-Ville,populated place,1
Asnières-sur-Nouère,populated place,1
Aspres,elevated area,1
Astet,populated place,1
Astu,elevation,1
Athas,populated place,1
Attignéville,populated place,1
Aubazat,populated place,1
Aubepierre,populated place,2
Aubussargues,populated place,1
Aucey,populated place,1
Augey,concave shoreline,1
Augrogne,stream,1
Aulon,populated place,3
Aunaie,stream,1
Aunois,stream,1
Aups,populated place,2
Aure,stream,1
Aussonne,populated place,1
Autane,elevation,1
Authézat,populated place,1
Autise,stream,1
Auxange,populated place,1
Auxence,stream,1
Avance,stream,1
Avant-lès-Marcilly,populated place,1
Avrechy,populated place,1
Avène,stream,2
Ayat,populated place,1
Aygalades,populated place,1
Bac,populated place,2
Bacanère,elevation,1
Bachant,populated place,1
Bachelard,stream,1
Bagil,populated place,1
Bagnères-de-Bigorre,populated place,1
Baillon,stream,1
Baisses,marsh,1
Baixas,populated place,1
Ballenouse,elevation,1
"Balme, Col",depression,1
Balomier,populated place,1
Balsac,populated place,1
Bar,elevation,1
Bar,populated place,1
Baranciascolie,populated place,1
Barbaste,populated place,1
Barbefer,populated place,1
Barmainville,populated place,1
Barricade,stream,1
Bartherans,populated place,1
Barthos,stream,1
Bas-Lieu,populated place,1
Basse d’Houat,underwater elevation,1
"Basse, Col de",depression,1
Basses Clavelières,populated place,1
Bassurelle,underwater elevation,1
Bastide de Couloumal,populated place,1
Bastresses,underwater elevation,1
Batarchione,elevation,1
Baudribosc,populated place,1
Baune,stream,1
Baux,populated place,4
Bayse,stream,1
Bazeü Trèz,island,1
Beaulieu,island,1
Beaulieu-sous-la-Roche,populated place,1
Beaurepaire,populated place,11
Beauvilliers,populated place,4
Bec de Jus,elevation,1
Becoinson,populated place,1
Becque,elevation,1
Bellacha,elevation,1
Belle-Île,island,2
Bellechaume,populated place,1
Bellenod-sur-Seine,populated place,1
Bellonne,populated place,1
Bellonne,stream,1
Benoîte-Vaux,populated place,1
Bens,stream,1
Berbérust,populated place,1
Berchères,populated place,3
Bergesserin,populated place,1
Berghe-Supérieur,populated place,1
Bergères,populated place,3
Berlaimont,populated place,1
Berle du Gargouilh,stream,1
Bertignat,populated place,1
Bertrande,stream,1
Besset,populated place,1
Besson,elevation,1
Betbezer,populated place,1
Betz,stream,1
Beune,stream,1
Beuzeville-la-Grenier,populated place,1
Biancetta,depression,1
Bianco,elevation,1
Biberonne,stream,1
Bidouze,stream,1
Bief,stream,1
Bieil,depression,1
Biesme,stream,1
Bievre,stream,2
Bigny,populated place,2
Bionne,stream,2
Bist,stream,1
Bisten,populated place,1
Bisten,stream,1
Bizots,populated place,2
Blac Meyanne,elevation,1
Blaine,stream,1
Blanc,convex shoreline,1
Blanc,elevation,4
Blancheville,populated place,1
Blanzac-lès-Matha,populated place,1
Blau,stream,1
Blies Bach,stream,1
Blousières,populated place,1
Bléneau,populated place,1
Boaira,depression,1
Bocca di l’Oru,elevation,1
Boeufs,elevation,2
Boisdinghem,populated place,1
Boisset-Saint-Priest,populated place,1
Boissy-le-Sec,populated place,1
Bombe,underwater elevation,1
Bonne Source,populated place,1
Bonnelle,stream,1
Bonnenn Sant Stinen,elevation,1
Bonnette,stream,1
Bordes-Bricard,populated place,1
Bordessoule,populated place,1
Bordeville,populated place,1
Bordigue Michel,basin,1
Boron,stream,1
Borrant,stream,1
Bosancon,stream,1
Boscodon,stream,1
Bossieu,populated place,1
Botticola,populated place,1
Bouc,elevation,1
Bouchot,stream,1
Bouessay,populated place,1
Bouhet,populated place,1
Bouillon,populated place,2
Bouilly,populated place,1
Bouillé-Saint-Paul,populated place,1
Boulc,populated place,1
Bourdigue de Châteauneuf,basin,1
Bourgneuf,populated place,1
Bourgogne,populated place,2
Bourriot,populated place,1
Boury,populated place,1
Bousquet-d’Orb,populated place,1
Boussenois,populated place,1
Bousson-le Haut,populated place,1
Bout,populated place,1
Boutillon,populated place,1
Bouville,populated place,5
Bouvreau,stream,1
Bouyssou,populated place,1
Bouëx,populated place,1
Boëme,stream,1
Brac,populated place,1
Brassioux,populated place,1
Braye-sous-Faye,populated place,1
Braysse,stream,1
Braz,underwater elevation,2
Brechottière,populated place,1
Breque,stream,1
"Bretolet, Col",depression,1
Breuillat,populated place,1
Brezons,populated place,2
Briance,stream,2
Briarres,populated place,1
Brommes,populated place,1
Brosses,populated place,15
Brousse-le-Château,populated place,1
Bruch,populated place,1
Brueil,populated place,1
Brueschbach,stream,1
Brunets,populated place,3
Brunstatt,populated place,1
Brussière,elevation,1
Brussières,elevation,1
Bruzzi,island,1
Brédannaz,populated place,1
Brégegere,populated place,1
Brémontier-Merval,populated place,1
Brévonne,stream,1
Budange,populated place,1
Buech,stream,1
Bufega,stream,1
Buisson Renard,populated place,1
Bulainville,populated place,1
Bullecourt,populated place,1
Burelles,populated place,1
Burgundy Gate,depression,1
Burthecourt-aux-Chênes,populated place,1
Bussin,populated place,1
Buthiers,stream,1
Béard,populated place,1
Bédable,stream,1
Béguélan,elevation,1
Bérard,elevation,1
