place_category,beginning
elevated area,Arj
elevated area,Tsa
elevation,Agh
elevation,Kha
elevation,Tsa
elevation,Ara
elevation,Kot
elevation,Bar
elevation,Ayr
elevation,Bag
elevation,Art
elevation,Sha
elevation,Shr
elevation,Sev
elevation,Par
elevation,Kho
elevation,Hay
elevation,T’u
elevation,T’a
elevation,Ts’
elevation,P’o
elevation,Karm
elevation,Lcha
elevation,Gegh
elevation,Chak
elevation,Shik
elevation,Paha
elevation,K’ara
elevation,Kosha
populated place,Yer
populated place,Chi
populated place,Agh
populated place,Sha
populated place,Ach
populated place,Gyu
populated place,Dzh
populated place,Tsa
populated place,Ch’
populated place,Akh
populated place,P’a
populated place,Ama
populated place,Dav
populated place,Tso
populated place,Gor
populated place,Osk
populated place,Sev
populated place,Aja
populated place,Are
populated place,Arr
populated place,Art
populated place,Ala
populated place,Zha
populated place,Gar
populated place,Zov
populated place,Chl
populated place,Dar
populated place,Ts’
populated place,Hay
populated place,Dash
populated place,Karm
populated place,Shen
populated place,Ayge
populated place,Geta
populated place,Berk
populated place,Arag
populated place,T’kh
populated place,Mala
populated place,Marg
populated place,Nora
populated place,Sara
populated place,Yegh
populated place,Shir
populated place,Varda
populated place,Gekha
populated place,Dzora
populated place,Gegha
populated place,Maturr
populated place,Khach’
populated place,K’arava
stream,Agh
stream,Sha
stream,Yer
stream,Grr
stream,Tsa
stream,Man
stream,Ts’
stream,Gor
stream,Mar
stream,Hov
stream,Kar
stream,Ish
stream,Gyu
stream,Akn
stream,Sal
stream,T’a
stream,Var
stream,T’o
stream,Tak’
stream,K’ar
stream,Yegh
stream,Avaz
stream,Chak
stream,Payt
stream,Kat’
stream,Ch’rr
stream,Khach’
