place_category,beginning
basin,Ilg
basin,Gal
basin,Per
basin,Var
basin,Ver
basin,Kan
basin,Luk
basin,Dvi
basin,Balt
basin,Juod
basin,Salot
elevation,Mik
elevation,Mar
elevation,Pad
elevation,Pav
elevation,Gar
elevation,Pas
elevation,Gin
elevation,Bir
elevation,Gud
elevation,Kar
elevation,Sal
elevation,Nem
elevation,Man
elevation,Bur
elevation,Avi
elevation,Bal
elevation,Maž
elevation,Šil
elevation,Str
elevation,Kam
elevation,Jak
elevation,Šak
elevation,Pri
elevation,Kuk
elevation,Žem
elevation,Gri
elevation,Pau
elevation,Gal
elevation,Gai
elevation,Kau
elevation,Ver
elevation,But
elevation,Vir
elevation,Ruk
elevation,Rub
elevation,Ram
elevation,Vil
elevation,Rad
elevation,Kur
elevation,Bui
elevation,Val
elevation,Jau
elevation,Kri
elevation,Nuo
elevation,Alk
elevation,Dap
elevation,Jon
elevation,Kie
elevation,Nor
elevation,Jan
elevation,Ažu
elevation,Ker
elevation,Ber
elevation,Kaln
elevation,Nauj
elevation,Pili
elevation,Anta
elevation,Raga
elevation,Varn
elevation,Pagr
elevation,Maiš
elevation,Paka
elevation,Pala
elevation,Petr
elevation,Stan
elevation,Stir
elevation,Vain
elevation,Lauk
elevation,Šeim
elevation,Kalv
elevation,Daug
elevation,Medv
elevation,Mešk
elevation,Didži
elevation,Aukšt
elevation,Juoda
elevation,Papil
populated place,Sta
populated place,Gir
populated place,Vil
populated place,Kal
populated place,Sha
populated place,Gud
populated place,Pag
populated place,Tau
populated place,Ber
populated place,Gri
populated place,Lau
populated place,Paš
populated place,Mar
populated place,Pik
populated place,Rad
populated place,Pad
populated place,Ger
populated place,Zhe
populated place,Šil
populated place,Kun
populated place,Val
populated place,Pal
populated place,Skr
populated place,Shu
populated place,Pap
populated place,Pla
populated place,Pam
populated place,Pan
populated place,Tri
populated place,Kuk
populated place,Kur
populated place,Mat
populated place,Nev
populated place,Kul
populated place,Man
populated place,Pus
populated place,Tol
populated place,Ska
populated place,Rud
populated place,Get
populated place,Vin
populated place,Vel
populated place,Bob
populated place,Užu
populated place,Dub
populated place,Tal
populated place,But
populated place,Pas
populated place,Kam
populated place,Die
populated place,Med
populated place,Nar
populated place,Zho
populated place,Der
populated place,Čiu
populated place,Arm
populated place,Auk
populated place,Mel
populated place,Yak
populated place,Bur
populated place,Alk
populated place,Vai
populated place,Dov
populated place,Rus
populated place,Pur
populated place,Gai
populated place,Kan
populated place,Pra
populated place,Pau
populated place,Zab
populated place,Bru
populated place,Mika
populated place,Nauj
populated place,Andr
populated place,Bart
populated place,Mork
populated place,Kara
populated place,Kirk
populated place,Anta
populated place,Raud
populated place,Kruo
populated place,Mish
populated place,Barv
populated place,Neme
populated place,Pava
populated place,Prei
populated place,Juod
populated place,Dauga
populated place,Balta
populated place,Varni
stream,Bal
stream,Lie
stream,Vie
stream,Mar
stream,Ežer
