place_category,beginning
basin,Mor
basin,Ach
basin,Sca
basin,Cla
basin,Cal
basin,Cor
basin,Cul
basin,Eil
basin,Bal
basin,Nan 
basin,Bean
basin,Loch
basin,Garbet
basin,Coire 
concave shoreline,San
concave shoreline,Hou
concave shoreline,Tre
concave shoreline,Poll
concave shoreline,Nan 
convex shoreline,Kin
convex shoreline,Bar
convex shoreline,Ard
convex shoreline,Dun
convex shoreline,San
convex shoreline,Bal
convex shoreline,Tor
convex shoreline,Cai
convex shoreline,Aird
convex shoreline,Whit
depression,Cam
depression,Con
depression,Glenm
depression,Srath 
elevation,Mor
elevation,Dun
elevation,Con
elevation,Chl
elevation,Cra
elevation,Scr
elevation,Gla
elevation,Mao
elevation,Sgr
elevation,Sto
elevation,Rua
elevation,Hum
elevation,Gar
elevation,Bla
elevation,Com
elevation,Bha
elevation,Ben
elevation,Mha
elevation,Meal
elevation,Scar
elevation,Leac
elevation,Chai
elevation,Derg
elevation,Nan 
elevation,Cairn
elevation,Stack
elevation,Liath
elevation,Smeora
island,Ris
island,Bulg
populated place,Dal
populated place,Tor
populated place,Pit
populated place,Sal
populated place,Cam
populated place,Cul
populated place,Col
populated place,Bro
populated place,Bor
populated place,All
populated place,Tom
populated place,Err
populated place,Tar
populated place,Bad
populated place,Let
populated place,Old
populated place,Pea
populated place,Cre
populated place,Alt
populated place,Ast
populated place,Kei
populated place,Lin
populated place,Cas
populated place,Aul
populated place,Cla
populated place,Lai
populated place,Gre
populated place,Fer
populated place,Sto
populated place,Kel
populated place,Lon
populated place,Rhi
populated place,Ber
populated place,Bel
populated place,Cly
populated place,Mel
populated place,Lun
populated place,Tra
populated place,Glen
populated place,Drum
populated place,Acha
populated place,Inch
populated place,Garv
populated place,Barr
populated place,Fort
populated place,Aber
populated place,Carn
populated place,Carr
populated place,Clun
populated place,Mill
populated place,Moni
populated place,Brae
populated place,Dunn
populated place,Rock
populated place,Gort
populated place,Rose
populated place,Ards
populated place,Mary
populated place,Sten
populated place,Coil
populated place,Gran
populated place,Gate
populated place,Coul
populated place,Sand
populated place,Cors
populated place,Dorn
populated place,Lang
populated place,Whit
populated place,Heil
populated place,Craig
populated place,Kilma
populated place,Achen
populated place,Kings
populated place,Cross
populated place,Black
populated place,Locha
populated place,Tilly
populated place,Balla
populated place,Achna
populated place,Balma
populated place,Kilmo
populated place,Ports
populated place,Invera
populated place,Inverm
populated place,Kirkco
populated place,Newton
populated place,Strath
populated place,Achfar
populated place,Kinloch
populated place,Auchter
populated place,Nether 
stream,Car
stream,Cal
stream,Kil
stream,Bla
stream,Con
stream,For
stream,Dun
stream,Cra
stream,Cha
stream,Kin
stream,Ski
stream,Rhi
stream,Str
stream,Tar
stream,Tor
stream,Shi
stream,Nan
stream,Lor
stream,Mal
stream,Lad
stream,Loch
stream,Glas
stream,Acha
stream,Garr
stream,Kirk
