place_category,beginning
concave shoreline,New
concave shoreline,Port
convex shoreline,Car
convex shoreline,Bra
convex shoreline,Kel
convex shoreline,Sca
convex shoreline,Hur
convex shoreline,Lan
convex shoreline,Chyn
convex shoreline,Penc
convex shoreline,Sharp
depression,Of 
elevation,Man
elevation,Ham
elevation,Bar
elevation,Ble
elevation,Hor
elevation,Car
elevation,Sha
elevation,Pil
elevation,Pen
elevation,Sca
elevation,Whit
island,Of 
island,Bri
populated place,Che
populated place,Wal
populated place,Har
populated place,Col
populated place,She
populated place,Hol
populated place,Chi
populated place,Sal
populated place,Win
populated place,Bir
populated place,Sta
populated place,Car
populated place,Ash
populated place,Lan
populated place,Bur
populated place,Cor
populated place,Sha
populated place,Bro
populated place,Cla
populated place,Cre
populated place,Cro
populated place,Bre
populated place,Con
populated place,Nor
populated place,War
populated place,New
populated place,Tho
populated place,Mon
populated place,Cha
populated place,Dun
populated place,Stu
populated place,On 
populated place,Lea
populated place,Dea
populated place,Kir
populated place,Sel
populated place,Swa
populated place,Sca
populated place,Sco
populated place,Bla
populated place,Rud
populated place,Cos
populated place,Wor
populated place,Ste
populated place,Bid
populated place,Bis
populated place,Bou
populated place,Bel
populated place,Dod
populated place,Cra
populated place,Hea
populated place,Fri
populated place,Hil
populated place,Amb
populated place,Hal
populated place,Ken
populated place,Til
populated place,Mil
populated place,Lam
populated place,Hel
populated place,Lar
populated place,Mus
populated place,Gle
populated place,Cou
populated place,Long
populated place,Hors
populated place,West
populated place,Whit
populated place,High
populated place,Well
populated place,Will
populated place,Gate
populated place,Wood
populated place,Barr
populated place,Bram
populated place,Melb
populated place,Bran
populated place,East
populated place,Earl
populated place,Marc
populated place,More
populated place,Port
populated place,Shir
populated place,Stou
populated place,Abbot
populated place,Kings
populated place,Stret
populated place,Green
populated place,Bridg
populated place,Little
strait,Sta
stream,Bre
stream,Bla
stream,Bra
stream,Che
stream,Har
stream,Col
stream,Cro
stream,Bea
stream,Lea
stream,Whi
stream,Otter
underwater elevation,Bar
