place_category,beginning
concave shoreline,Sla
concave shoreline,Sti
concave shoreline,Pre
concave shoreline,Baš
concave shoreline,Mar
concave shoreline,Oso
concave shoreline,Dub
concave shoreline,Kom
concave shoreline,Val
concave shoreline,Luk
concave shoreline,Svet
concave shoreline,Zaka
concave shoreline,Pešk
concave shoreline,Soli
concave shoreline,Vela 
convex shoreline,Mar
elevation,Bil
elevation,Mar
elevation,Sto
elevation,Rad
elevation,Kur
elevation,Mal
elevation,Tre
elevation,Gra
elevation,Šil
elevation,Lju
elevation,Obl
elevation,Orl
elevation,Bal
elevation,Bra
elevation,Rud
elevation,Jel
elevation,Kop
elevation,Kar
elevation,Pro
elevation,Ogr
elevation,Pri
elevation,Oštr
elevation,Vran
elevation,Konj
elevation,Petr
elevation,Stra
elevation,Viso
elevation,Miha
elevation,Glavi
elevation,Golub
elevation,Debel
elevation,Kamen
elevation,Bijel
elevation,Planik
island,Gal
island,Koz
island,Plan
island,Svet
populated place,Kor
populated place,Pre
populated place,Sla
populated place,Rad
populated place,Pri
populated place,Gre
populated place,Kar
populated place,Vuč
populated place,Sta
populated place,Bra
populated place,Dub
populated place,Mil
populated place,Bla
populated place,Klj
populated place,Baš
populated place,Bar
populated place,Cer
populated place,Kun
populated place,Mat
populated place,Mal
populated place,Rav
populated place,Hra
populated place,Kom
populated place,Per
populated place,Vid
populated place,Bru
populated place,Kla
populated place,Kru
populated place,Pot
populated place,Pov
populated place,Bor
populated place,Bul
populated place,Bel
populated place,Koz
populated place,Stu
populated place,Svi
populated place,Ban
populated place,Tom
populated place,Top
populated place,Miš
populated place,Dre
populated place,Vel
populated place,Crn
populated place,Jar
populated place,Vis
populated place,Glo
populated place,Jak
populated place,Vuk
populated place,Luk
populated place,Ivan
populated place,Brez
populated place,Križ
populated place,Lovr
populated place,Divo
populated place,Vuji
populated place,Brij
populated place,Grab
populated place,Dobr
populated place,Pakl
populated place,Ljub
populated place,Podg
populated place,Polj
populated place,Rast
populated place,Drag
populated place,Subo
populated place,Treb
populated place,Grad
populated place,Kamen
populated place,Bistr
populated place,Marti
populated place,Selo 
populated place,Bukov
populated place,Brest
populated place,Petri
populated place,Štefan
populated place,Bogdan
populated place,Doljan
populated place,Vinkov
stream,Dra
stream,Sla
stream,Buk
stream,Bar
stream,Piš
stream,Vrb
stream,Rak
stream,Jav
stream,Mil
stream,Duna
stream,Kara
stream,Kost
stream,Vrel
