place_category,beginning
basin,Maz
basin,Kau
basin,Luk
basin,Pla
basin,Aug
basin,Elk
basin,Gar
basin,Diž
basin,Kli
basin,Kro
basin,Kaz
basin,Lie
basin,Cir
basin,Pie
basin,Pit
basin,Bab
basin,Jaun
basin,Ezer
basin,Kaln
basin,Mell
basin,Meln
basin,Prie
basin,Balt
basin,Rožu
basin,Ilzi
basin,Dzirn
elevation,Kau
elevation,Gai
elevation,Val
elevation,Vai
elevation,Vir
elevation,Dzi
elevation,Mel
elevation,Kar
elevation,Bri
elevation,Sil
elevation,Zie
elevation,Rau
elevation,Pal
elevation,Str
elevation,Lie
elevation,Kat
elevation,Pau
elevation,Diž
elevation,Ska
elevation,Skr
elevation,Vec
elevation,Vēj
elevation,Mai
elevation,Pil
elevation,Bik
elevation,Mar
elevation,Kri
elevation,Zir
elevation,Bēr
elevation,Zal
elevation,Rie
elevation,Sva
elevation,Pla
elevation,Pod
elevation,Sau
elevation,Sta
elevation,Sēr
elevation,Tru
elevation,Bur
elevation,Spi
elevation,Bir
elevation,Put
elevation,Kaņ
elevation,Lau
elevation,Kuk
elevation,Kol
elevation,Akm
elevation,Deg
elevation,Cūk
elevation,Kaln
elevation,Jaun
elevation,Dzel
elevation,Balt
elevation,Andr
elevation,Krau
elevation,Grei
elevation,Kazu
elevation,Diev
elevation,Smil
elevation,Spār
elevation,Vies
elevation,Bren
elevation,Velna
elevation,Rubuļ
elevation,Rozen
marsh,Lie
marsh,Mel
marsh,Diž
marsh,Kan
marsh,Pil
marsh,Skr
marsh,Stu
marsh,Kri
marsh,Muiž
marsh,Tira
populated place,Sta
populated place,Bal
populated place,Var
populated place,Vil
populated place,Kri
populated place,Kur
populated place,Rud
populated place,Sīk
populated place,Val
populated place,Gru
populated place,Pri
populated place,Bra
populated place,Gar
populated place,Dzi
populated place,Ger
populated place,Mel
populated place,Kau
populated place,Kru
populated place,Kār
populated place,Mal
populated place,Ant
populated place,Bau
populated place,Pas
populated place,Zal
populated place,Rin
populated place,Kre
populated place,Gai
populated place,Med
populated place,Skr
populated place,And
populated place,Aug
populated place,Sti
populated place,Abr
populated place,Aps
populated place,Tum
populated place,Kap
populated place,Bri
populated place,Mat
populated place,Ves
populated place,Kat
populated place,Vis
populated place,Kle
populated place,Lan
populated place,Ver
populated place,Jaun
populated place,Yaun
populated place,Kaln
populated place,Liel
populated place,Liep
populated place,Saka
populated place,Stru
populated place,Vecs
populated place,Vets
populated place,Mazb
populated place,Vies
populated place,Mazv
populated place,Meža
populated place,Silav
stream,Vie
stream,Sud
stream,Svi
